Title,Link,Query
Existe VIDA FORA da TERRA?,https://www.youtube.com/watch?v=IWcGCS9Y8xc,Existência de vida fora da Terra
FOTO do NOSSO BURACO NEGRO,https://www.youtube.com/watch?v=B06cjXPYa1g,Tecnologia usada para tirar a foto do buraco negro
Como MEDIMOS as ESTRELAS no UNIVERSO?,https://www.youtube.com/watch?v=QsppTl3sxc0,Impacto da medição das estrelas no universo na astronomia e na ciência
DESCOBRINDO a MATÉRIA ESCURA,https://www.youtube.com/watch?v=I01yIcpdkgg,Evidências concretas da existência da matéria escura
ASTRONOMIA = ASTROFÍSICA e COSMOLOGIA,https://www.youtube.com/watch?v=WhQ4Rx9H6N8,"Papel da tecnologia na astronomia, astrofísica e cosmologia"
Analfabetos CIENTÍFICOS,https://www.youtube.com/watch?v=EVu9xgIgIFk,Influencia na percepção da ciência e alfabetização científica da sociedade
Os ABSURDOS das COISAS QUÂNTICAS,https://www.youtube.com/watch?v=f-ID02UOsyU,Papel da observação na física quântica
As LEIS no ESPAÇO,https://www.youtube.com/watch?v=4-FkxzVs5_k,"Relação entre as leis da física e a formação e evolução das galáxias e sistemas planetários
"
TERIA como SALVAR a TRIPULAÇÃO da COLUMBIA?,https://www.youtube.com/watch?v=hqRQGFBqtf4,"Estrutura da nave espacial durante a reentrada na atmosfera terrestre
"
O ACIDENTE da COLUMBIA na NASA,https://www.youtube.com/watch?v=8l70_Zk7J1U,Acidente da Columbia mudou a percepção pública da exploração espacial
BRASIL quase NÃO ENTROU na ESTAÇÃO ESPACIAL,https://www.youtube.com/watch?v=RElYQN4WXr0,"Participação do Brasil na Estação Espacial Internacional afetou a comunidade científica e tecnológica do país
"
COMO se TORNAR um ASTRONAUTA,https://www.youtube.com/watch?v=ovvA3eI9KSg,Principais responsabilidades de um astronauta durante uma missão no espaço
TESTES para ASTRONAUTA,https://www.youtube.com/watch?v=t6dbwqehfrU,"Testes físicos e psicológicos para seleção de astronautas
"
SONHO de ser ASTRONAUTA (Marcos Pontes),https://www.youtube.com/watch?v=OS1fjDmUh3o,Motivação do Marcos Pontes a seguir uma carreira na astronauta
Você já ENTROU no METAVERSO?,https://www.youtube.com/watch?v=W3UxiBqGV2c,"Metaverso terá um impacto significativo no futuro da sociedade
"
O IMPACTO das REDES SOCIAIS,https://www.youtube.com/watch?v=EnxE0SWFPBY,Redes sociais são uma ferramenta útil para a promoção de causas sociais e políticas
EMPREGOS que já EXISTEM no METAVERSE,https://www.youtube.com/watch?v=V0Bm0LCBNog,Habilidades e conhecimentos necessários para trabalhar no metaverso
O MAIOR MEME do ELON MUSK é BRASILEIRO,https://www.youtube.com/watch?v=LFzXVvjpbHo,"Brasileiro responsável pelo ""maior meme"" de Elon Musk"
MALEFÍCIOS do METAVERSE,https://www.youtube.com/watch?v=u0zUlwDo5-0,Tecnologia pode ser usada para ajudar a lidar com os malesfícios do metaverso
SERVIÇOS POSSÍVEIS apenas no METAVERSE,https://www.youtube.com/watch?v=rkNeOnP2yig,As empresas e os serviços podem se beneficolar do mundo real para entrar no metaverse
O TWITTER valeu 44 BILHÕES de DOLLARES?,https://www.youtube.com/watch?v=xZqzYbI4Nv8,"O Twitter pretende competir com outras plataformas de mídia social, como o Facebook e o Instagram"
Teste AO VIVO de uma INTELIGÊNCIA ARTIFICIAL,https://www.youtube.com/watch?v=9ZK4sYAgMZU,A inteligência artificial mostrou sinais de consciência ou autoconsciência durante o teste
A SONDA que ENTRA no SOL,https://www.youtube.com/watch?v=O9eDpmyl264,Dados coletados pela sonda serão usados para melhorar nossa compreensão do sol e do universo
E SE o SOL CAIR num BURACO NEGRO ?,https://www.youtube.com/watch?v=ChpG8JpOIZc,Descobertas recentes sobre buracos negros mudaram nossa compreensão do universo
A VERDADEIRA COR do SOL,https://www.youtube.com/watch?v=Fop8oAqn6Ls,Cor do sol influencia outros planetas e corpos celestes no sistema solar
CRIANDO um SOL,https://www.youtube.com/watch?v=JHD_UidUzuQ,Aprendizado sobre o sol e o universo através da criação de um sol artificial
Como foi a CRIAÇÃO do SOL,https://www.youtube.com/watch?v=Z-e5rx7-qW4,Evidências científicas para a teoria da criação do sol
O SOL vai se EXPANDIR e MUITO,https://www.youtube.com/watch?v=nDcmKGkVp20,Aumento de tamanho do sol afetará a Terra e outros planetas do Sistema Solar
O QUE não FAZER num ECLIPSE SOLAR,https://www.youtube.com/watch?v=reXifqFyo58,Importância de seguir as recomendações de segurança durante um eclipse solar
UNICAMP na PANDEMIA,https://www.youtube.com/watch?v=C2IwiFGtnuQ,A Universidade Estadual de Campinas (UNICAMP) lidou com a pandemia de COVID-19
Ciência PARA o FUTURO,https://www.youtube.com/watch?v=Yg2BGT_qusE,Possibilidades de tecnologias avançadas na ciência para o futuro
A DIVULGAÇÃO CIENTÍFICA foi fortalecida após a PANDEMIA?,https://www.youtube.com/watch?v=tcCVWTvCMPo,Comunidade científica conseguiu se adaptar às mudanças causadas pela pandemia
ADAPTAÇÃO no ENSINO,https://www.youtube.com/watch?v=3MyybSvXMGk,Principais barreiras para a adaptação no ensino
MENTIRAS que Foram Levadas a SÉRIO,https://www.youtube.com/watch?v=pcTGCJIR7nY,As pessoas podem proteger a si mesmas contra as mentiras e informações falsas
Perigo das MUDANÇAS CLIMÁTICAS,https://www.youtube.com/watch?v=dCiHtUNsx8I,importância de se tomar medidas para prevenir as mudanças climáticas
ANTICIÊNCIA,https://www.youtube.com/watch?v=WxDKy5nS9h0,a anticiência pode ser usada para prever tendências e mudanças no futuro
